ad_id,Unique ID,segment,scrape_date,created_date,updated_date,Estate,saleable_area_ft2,gross_area_ft2,price_hkdm,rent_hkd,Duplicated,pricechange,latest_date_filter
2783669,27836692023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Foo Tat Building Kowloon Mong Kok Block and Unit: Low Floor,Foo Tat Building Building age: 38 Year Show more info about the Estate Foo Tat Building",222.0,,3.58,,Y,False,N
2783665,27836652023-09-14,Residential,2023-09-14,2023-09-11,2023-09-13,"Belleve Court HK Island Shaukeiwan Block and Unit: Room 5, Block A Building age: 35 Year Show more info about the Estate Belleve Court",292.0,390.0,4.65,,Y,False,N
2783667,27836672023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Residence Bel-Air BEL-AIR NO.8, BEL-AIR ON THE PEAK HK Island Southern District Block and Unit: Room A, Tower 8B Building age: 19 Year Show more info about the Estate Residence Bel-Air",1340.0,1863.0,38.38,,Y,False,N
2783719,27837192023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Ping Yan Court New Territories Tin Shui Wai Block and Unit: Block B (Ping Yan Court) Room 3 Show more info about the Estate Ping Yan Court,376.0,,3.8,,Y,False,N
2783718,27837182023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Vista Paradiso New Territories Ma On Shan Block and Unit: 04 Block D Building age: 25 Year Show more info about the Estate Vista Paradiso,710.0,880.0,8.3,,Y,False,N
2783695,27836952023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Sausalito New Territories Ma On Shan Block and Unit: 1 Tower C Building age: 15 Year Show more info about the Estate Sausalito,805.0,1078.0,10.5,,Y,False,N
2783673,27836732023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,Sorrento Kowloon Kowloon Station Block and Unit: 3A Building age: 20 Year Show more info about the Estate Sorrento,620.0,836.0,16.7,,Y,False,N
2783686,27836862023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Carado Garden New Territories Tai Wai Block and Unit: Mid Floor,BLOCK 2 Building age: 34 Year Show more info about the Estate Carado Garden",593.0,667.0,6.58,,Y,False,N
2783658,27836582023-09-14,Residential,2023-09-14,2023-09-11,2023-09-13,Ching Shing Court New Territories Tsing Yi Block and Unit: Room 09 Building age: 38 Year Show more info about the Estate Ching Shing Court,381.0,540.0,3.4,,Y,False,N
2783500,27835002023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Lai Kwan Court Kowloon Cheung Sha Wan Block and Unit: Mid Floor,Lai Kwan Court Building age: 29 Year Show more info about the Estate Lai Kwan Court",320.0,,4.88,,Y,False,N
2783486,27834862023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Aurora New Territories Tsuen Wan Block and Unit: Room C, Tower 3 Building age: 3 Year Show more info about the Estate Aurora",218.0,,4.28,,Y,False,N
2783488,27834882023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Greenfield Garden New Territories Tsing Yi Block and Unit: Room G, Tower 2, Phase 1 Building age: 33 Year Show more info about the Estate Greenfield Garden",368.0,485.0,5.38,,Y,False,N
2783662,27836622023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Hoi Lok Court Kowloon Nam Cheong Block and Unit: Mid Floor,BLOCK C Building age: 4 Year Show more info about the Estate Hoi Lok Court",522.0,,7.0,,Y,True,N
2783688,27836882023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"Monte Vista New Territories Ma On Shan Block and Unit: Room A, Tower 3 Building age: 23 Year Show more info about the Estate Monte Vista",702.0,905.0,7.48,,Y,False,N
2783676,27836762023-09-14,Residential,2023-09-14,2023-09-11,2023-09-11,"The Amused Kowloon Cheung Sha Wan Block and Unit: Unit C,High Floor,The Amused Building age: 5 Year Show more info about the Estate The Amused",285.0,,5.19,,Y,False,N
